"fullpath","name","extension","size","type","level","creation_date","modification_date","created_by","last_edited_by"
"C:\Users\abc_0\Documents\Temp\Compiled","Compiled","","0","folder","1","28/03/2024 15:34:50","28/03/2024 17:19:38",,
"C:\Users\abc_0\Documents\Temp\Data","Data","","0","folder","1","22/01/2024 13:50:01","23/01/2024 12:05:01",,
"C:\Users\abc_0\Documents\Temp\Sydeo","Sydeo","","0","folder","1","16/01/2024 23:30:25","16/01/2024 23:40:52",,
"C:\Users\abc_0\Documents\Temp\Compiled\Project.zip","Project.zip",".zip","912193883","file","2","28/03/2024 16:12:49","28/03/2024 16:12:48",,
"C:\Users\abc_0\Documents\Temp\Compiled\Project2.zip","Project2.zip",".zip","912193879","file","2","28/03/2024 17:19:38","28/03/2024 17:19:38",,
"C:\Users\abc_0\Documents\Temp\Data\N42E006.hgt","N42E006.hgt",".hgt","25934402","file","2","22/01/2024 13:56:12","22/01/2024 13:56:12",,
"C:\Users\abc_0\Documents\Temp\Data\N42E006.hgt.aux.xml","N42E006.hgt.aux.xml",".xml","477","file","2","23/01/2024 12:04:58","23/01/2024 12:04:58",,
"C:\Users\abc_0\Documents\Temp\Data\N42E008.hgt","N42E008.hgt",".hgt","25934402","file","2","22/01/2024 13:56:12","22/01/2024 13:56:12",,
"C:\Users\abc_0\Documents\Temp\Data\N42E008.hgt.aux.xml","N42E008.hgt.aux.xml",".xml","478","file","2","23/01/2024 12:04:58","23/01/2024 12:04:58",,
"C:\Users\abc_0\Documents\Temp\Data\N42E009.hgt","N42E009.hgt",".hgt","25934402","file","2","22/01/2024 13:56:14","22/01/2024 13:56:14",,
"C:\Users\abc_0\Documents\Temp\Data\N42E009.hgt.aux.xml","N42E009.hgt.aux.xml",".xml","477","file","2","23/01/2024 12:04:58","23/01/2024 12:04:58",,
"C:\Users\abc_0\Documents\Temp\Data\N42E010.hgt","N42E010.hgt",".hgt","25934402","file","2","22/01/2024 13:56:13","22/01/2024 13:56:13",,
"C:\Users\abc_0\Documents\Temp\Data\N42E010.hgt.aux.xml","N42E010.hgt.aux.xml",".xml","477","file","2","23/01/2024 12:04:58","23/01/2024 12:04:58",,
"C:\Users\abc_0\Documents\Temp\Data\N42E011.hgt","N42E011.hgt",".hgt","25934402","file","2","22/01/2024 13:56:15","22/01/2024 13:56:15",,
"C:\Users\abc_0\Documents\Temp\Data\N42E011.hgt.aux.xml","N42E011.hgt.aux.xml",".xml","478","file","2","23/01/2024 12:04:58","23/01/2024 12:04:58",,
"C:\Users\abc_0\Documents\Temp\Data\N42E012.hgt","N42E012.hgt",".hgt","25934402","file","2","22/01/2024 13:56:15","22/01/2024 13:56:16",,
"C:\Users\abc_0\Documents\Temp\Data\N42E012.hgt.aux.xml","N42E012.hgt.aux.xml",".xml","477","file","2","23/01/2024 12:04:58","23/01/2024 12:04:58",,
"C:\Users\abc_0\Documents\Temp\Data\N42E013.hgt","N42E013.hgt",".hgt","25934402","file","2","22/01/2024 13:56:14","22/01/2024 13:56:15",,
"C:\Users\abc_0\Documents\Temp\Data\N42E013.hgt.aux.xml","N42E013.hgt.aux.xml",".xml","477","file","2","23/01/2024 12:04:58","23/01/2024 12:04:58",,
"C:\Users\abc_0\Documents\Temp\Data\N42E014.hgt","N42E014.hgt",".hgt","25934402","file","2","22/01/2024 13:56:15","22/01/2024 13:56:15",,
"C:\Users\abc_0\Documents\Temp\Data\N42E014.hgt.aux.xml","N42E014.hgt.aux.xml",".xml","478","file","2","23/01/2024 12:04:58","23/01/2024 12:04:58",,
"C:\Users\abc_0\Documents\Temp\Data\N42E015.hgt","N42E015.hgt",".hgt","25934402","file","2","22/01/2024 13:56:14","22/01/2024 13:56:14",,
"C:\Users\abc_0\Documents\Temp\Data\N42E015.hgt.aux.xml","N42E015.hgt.aux.xml",".xml","479","file","2","23/01/2024 12:04:58","23/01/2024 12:04:58",,
"C:\Users\abc_0\Documents\Temp\Data\N42W009.hgt","N42W009.hgt",".hgt","25934402","file","2","22/01/2024 13:56:13","22/01/2024 13:56:13",,
"C:\Users\abc_0\Documents\Temp\Data\N42W009.hgt.aux.xml","N42W009.hgt.aux.xml",".xml","478","file","2","23/01/2024 12:04:58","23/01/2024 12:04:58",,
"C:\Users\abc_0\Documents\Temp\Data\N43E000.hgt","N43E000.hgt",".hgt","25934402","file","2","22/01/2024 13:56:23","22/01/2024 13:56:23",,
"C:\Users\abc_0\Documents\Temp\Data\N43E000.hgt.aux.xml","N43E000.hgt.aux.xml",".xml","478","file","2","23/01/2024 12:04:58","23/01/2024 12:04:58",,
"C:\Users\abc_0\Documents\Temp\Data\N43E001.hgt","N43E001.hgt",".hgt","25934402","file","2","22/01/2024 13:56:20","22/01/2024 13:56:20",,
"C:\Users\abc_0\Documents\Temp\Data\N43E001.hgt.aux.xml","N43E001.hgt.aux.xml",".xml","477","file","2","23/01/2024 12:04:58","23/01/2024 12:04:58",,
"C:\Users\abc_0\Documents\Temp\Data\N43E002.hgt","N43E002.hgt",".hgt","25934402","file","2","22/01/2024 13:56:23","22/01/2024 13:56:23",,
"C:\Users\abc_0\Documents\Temp\Data\N43E002.hgt.aux.xml","N43E002.hgt.aux.xml",".xml","479","file","2","23/01/2024 12:04:58","23/01/2024 12:04:58",,
"C:\Users\abc_0\Documents\Temp\Data\N43E003.hgt","N43E003.hgt",".hgt","25934402","file","2","22/01/2024 13:56:28","22/01/2024 13:56:28",,
"C:\Users\abc_0\Documents\Temp\Data\N43E003.hgt.aux.xml","N43E003.hgt.aux.xml",".xml","478","file","2","23/01/2024 12:04:58","23/01/2024 12:04:58",,
"C:\Users\abc_0\Documents\Temp\Data\N43E004.hgt","N43E004.hgt",".hgt","25934402","file","2","22/01/2024 13:56:25","22/01/2024 13:56:25",,
"C:\Users\abc_0\Documents\Temp\Data\N43E004.hgt.aux.xml","N43E004.hgt.aux.xml",".xml","478","file","2","23/01/2024 12:04:58","23/01/2024 12:04:58",,
"C:\Users\abc_0\Documents\Temp\Data\N43E005.hgt","N43E005.hgt",".hgt","25934402","file","2","22/01/2024 13:56:24","22/01/2024 13:56:25",,
"C:\Users\abc_0\Documents\Temp\Data\N43E005.hgt.aux.xml","N43E005.hgt.aux.xml",".xml","479","file","2","23/01/2024 12:04:58","23/01/2024 12:04:58",,
"C:\Users\abc_0\Documents\Temp\Data\N43E006.hgt","N43E006.hgt",".hgt","25934402","file","2","22/01/2024 13:56:26","22/01/2024 13:56:27",,
"C:\Users\abc_0\Documents\Temp\Data\N43E006.hgt.aux.xml","N43E006.hgt.aux.xml",".xml","478","file","2","23/01/2024 12:04:58","23/01/2024 12:04:58",,
"C:\Users\abc_0\Documents\Temp\Data\N43E007.hgt","N43E007.hgt",".hgt","25934402","file","2","22/01/2024 13:56:24","22/01/2024 13:56:24",,
"C:\Users\abc_0\Documents\Temp\Data\N43E007.hgt.aux.xml","N43E007.hgt.aux.xml",".xml","477","file","2","23/01/2024 12:04:58","23/01/2024 12:04:58",,
"C:\Users\abc_0\Documents\Temp\Data\N43E008.hgt","N43E008.hgt",".hgt","25934402","file","2","22/01/2024 13:56:25","22/01/2024 13:56:25",,
"C:\Users\abc_0\Documents\Temp\Data\N43E008.hgt.aux.xml","N43E008.hgt.aux.xml",".xml","475","file","2","23/01/2024 12:04:58","23/01/2024 12:04:58",,
"C:\Users\abc_0\Documents\Temp\Data\N43E009.hgt","N43E009.hgt",".hgt","25934402","file","2","22/01/2024 13:56:26","22/01/2024 13:56:26",,
"C:\Users\abc_0\Documents\Temp\Data\N43E009.hgt.aux.xml","N43E009.hgt.aux.xml",".xml","478","file","2","23/01/2024 12:04:58","23/01/2024 12:04:58",,
"C:\Users\abc_0\Documents\Temp\Data\N43E010.hgt","N43E010.hgt",".hgt","25934402","file","2","22/01/2024 13:56:31","22/01/2024 13:56:31",,
"C:\Users\abc_0\Documents\Temp\Data\N43E010.hgt.aux.xml","N43E010.hgt.aux.xml",".xml","478","file","2","23/01/2024 12:04:58","23/01/2024 12:04:58",,
"C:\Users\abc_0\Documents\Temp\Data\N43E011.hgt","N43E011.hgt",".hgt","25934402","file","2","22/01/2024 13:56:33","22/01/2024 13:56:33",,
"C:\Users\abc_0\Documents\Temp\Data\N43E011.hgt.aux.xml","N43E011.hgt.aux.xml",".xml","477","file","2","23/01/2024 12:04:58","23/01/2024 12:04:58",,
"C:\Users\abc_0\Documents\Temp\Data\N43E012.hgt","N43E012.hgt",".hgt","25934402","file","2","22/01/2024 13:56:32","22/01/2024 13:56:32",,
"C:\Users\abc_0\Documents\Temp\Data\N43E012.hgt.aux.xml","N43E012.hgt.aux.xml",".xml","477","file","2","23/01/2024 12:04:58","23/01/2024 12:04:58",,
"C:\Users\abc_0\Documents\Temp\Data\N43E013.hgt","N43E013.hgt",".hgt","25934402","file","2","22/01/2024 13:56:29","22/01/2024 13:56:30",,
"C:\Users\abc_0\Documents\Temp\Data\N43E013.hgt.aux.xml","N43E013.hgt.aux.xml",".xml","477","file","2","23/01/2024 12:04:58","23/01/2024 12:04:58",,
"C:\Users\abc_0\Documents\Temp\Data\N43E015.hgt","N43E015.hgt",".hgt","25934402","file","2","22/01/2024 13:56:29","22/01/2024 13:56:29",,
"C:\Users\abc_0\Documents\Temp\Data\N43E015.hgt.aux.xml","N43E015.hgt.aux.xml",".xml","477","file","2","23/01/2024 12:04:58","23/01/2024 12:04:58",,
"C:\Users\abc_0\Documents\Temp\Data\N43W001.hgt","N43W001.hgt",".hgt","25934402","file","2","22/01/2024 13:56:19","22/01/2024 13:56:19",,
"C:\Users\abc_0\Documents\Temp\Data\N43W001.hgt.aux.xml","N43W001.hgt.aux.xml",".xml","477","file","2","23/01/2024 12:04:58","23/01/2024 12:04:58",,
"C:\Users\abc_0\Documents\Temp\Data\N43W002.hgt","N43W002.hgt",".hgt","25934402","file","2","22/01/2024 13:56:21","22/01/2024 13:56:22",,
"C:\Users\abc_0\Documents\Temp\Data\N43W002.hgt.aux.xml","N43W002.hgt.aux.xml",".xml","479","file","2","23/01/2024 12:04:58","23/01/2024 12:04:58",,
"C:\Users\abc_0\Documents\Temp\Data\N43W003.hgt","N43W003.hgt",".hgt","25934402","file","2","22/01/2024 13:56:19","22/01/2024 13:56:19",,
"C:\Users\abc_0\Documents\Temp\Data\N43W003.hgt.aux.xml","N43W003.hgt.aux.xml",".xml","478","file","2","23/01/2024 12:04:58","23/01/2024 12:04:58",,
"C:\Users\abc_0\Documents\Temp\Data\N43W004.hgt","N43W004.hgt",".hgt","25934402","file","2","22/01/2024 13:56:17","22/01/2024 13:56:17",,
"C:\Users\abc_0\Documents\Temp\Data\N43W004.hgt.aux.xml","N43W004.hgt.aux.xml",".xml","477","file","2","23/01/2024 12:04:58","23/01/2024 12:04:58",,
"C:\Users\abc_0\Documents\Temp\Data\N43W005.hgt","N43W005.hgt",".hgt","25934402","file","2","22/01/2024 13:56:20","22/01/2024 13:56:20",,
"C:\Users\abc_0\Documents\Temp\Data\N43W005.hgt.aux.xml","N43W005.hgt.aux.xml",".xml","478","file","2","23/01/2024 12:04:58","23/01/2024 12:04:58",,
"C:\Users\abc_0\Documents\Temp\Data\N43W006.hgt","N43W006.hgt",".hgt","25934402","file","2","22/01/2024 13:56:21","22/01/2024 13:56:21",,
"C:\Users\abc_0\Documents\Temp\Data\N43W006.hgt.aux.xml","N43W006.hgt.aux.xml",".xml","479","file","2","23/01/2024 12:04:58","23/01/2024 12:04:58",,
"C:\Users\abc_0\Documents\Temp\Data\N43W007.hgt","N43W007.hgt",".hgt","25934402","file","2","22/01/2024 13:56:21","22/01/2024 13:56:21",,
"C:\Users\abc_0\Documents\Temp\Data\N43W007.hgt.aux.xml","N43W007.hgt.aux.xml",".xml","478","file","2","23/01/2024 12:04:58","23/01/2024 12:04:58",,
"C:\Users\abc_0\Documents\Temp\Data\N43W008.hgt","N43W008.hgt",".hgt","25934402","file","2","22/01/2024 13:56:17","22/01/2024 13:56:17",,
"C:\Users\abc_0\Documents\Temp\Data\N43W008.hgt.aux.xml","N43W008.hgt.aux.xml",".xml","478","file","2","23/01/2024 12:04:58","23/01/2024 12:04:58",,
"C:\Users\abc_0\Documents\Temp\Data\N43W009.hgt","N43W009.hgt",".hgt","25934402","file","2","22/01/2024 13:56:16","22/01/2024 13:56:17",,
"C:\Users\abc_0\Documents\Temp\Data\N43W009.hgt.aux.xml","N43W009.hgt.aux.xml",".xml","476","file","2","23/01/2024 12:04:58","23/01/2024 12:04:58",,
"C:\Users\abc_0\Documents\Temp\Data\N44E000.hgt","N44E000.hgt",".hgt","25934402","file","2","22/01/2024 13:56:34","22/01/2024 13:56:35",,
"C:\Users\abc_0\Documents\Temp\Data\N44E000.hgt.aux.xml","N44E000.hgt.aux.xml",".xml","476","file","2","23/01/2024 12:04:58","23/01/2024 12:04:58",,
"C:\Users\abc_0\Documents\Temp\Data\N44E001.hgt","N44E001.hgt",".hgt","25934402","file","2","22/01/2024 13:56:36","22/01/2024 13:56:36",,
"C:\Users\abc_0\Documents\Temp\Data\N44E001.hgt.aux.xml","N44E001.hgt.aux.xml",".xml","476","file","2","23/01/2024 12:04:58","23/01/2024 12:04:58",,
"C:\Users\abc_0\Documents\Temp\Data\N44E002.hgt","N44E002.hgt",".hgt","25934402","file","2","22/01/2024 13:56:37","22/01/2024 13:56:37",,
"C:\Users\abc_0\Documents\Temp\Data\N44E002.hgt.aux.xml","N44E002.hgt.aux.xml",".xml","479","file","2","23/01/2024 12:04:58","23/01/2024 12:04:58",,
"C:\Users\abc_0\Documents\Temp\Data\N44E003.hgt","N44E003.hgt",".hgt","25934402","file","2","22/01/2024 13:56:39","22/01/2024 13:56:39",,
"C:\Users\abc_0\Documents\Temp\Data\N44E003.hgt.aux.xml","N44E003.hgt.aux.xml",".xml","479","file","2","23/01/2024 12:04:58","23/01/2024 12:04:58",,
"C:\Users\abc_0\Documents\Temp\Data\N44E004.hgt","N44E004.hgt",".hgt","25934402","file","2","22/01/2024 13:56:38","22/01/2024 13:56:38",,
"C:\Users\abc_0\Documents\Temp\Data\N44E004.hgt.aux.xml","N44E004.hgt.aux.xml",".xml","478","file","2","23/01/2024 12:04:59","23/01/2024 12:04:59",,
"C:\Users\abc_0\Documents\Temp\Data\N44E005.hgt","N44E005.hgt",".hgt","25934402","file","2","22/01/2024 13:56:47","22/01/2024 13:56:47",,
"C:\Users\abc_0\Documents\Temp\Data\N44E005.hgt.aux.xml","N44E005.hgt.aux.xml",".xml","478","file","2","23/01/2024 12:04:59","23/01/2024 12:04:59",,
"C:\Users\abc_0\Documents\Temp\Data\N44E006.hgt","N44E006.hgt",".hgt","25934402","file","2","22/01/2024 13:56:40","22/01/2024 13:56:40",,
"C:\Users\abc_0\Documents\Temp\Data\N44E006.hgt.aux.xml","N44E006.hgt.aux.xml",".xml","478","file","2","23/01/2024 12:04:59","23/01/2024 12:04:59",,
"C:\Users\abc_0\Documents\Temp\Data\N44E007.hgt","N44E007.hgt",".hgt","25934402","file","2","22/01/2024 13:56:41","22/01/2024 13:56:41",,
"C:\Users\abc_0\Documents\Temp\Data\N44E007.hgt.aux.xml","N44E007.hgt.aux.xml",".xml","479","file","2","23/01/2024 12:04:59","23/01/2024 12:04:59",,
"C:\Users\abc_0\Documents\Temp\Data\N44E008.hgt","N44E008.hgt",".hgt","25934402","file","2","22/01/2024 13:56:42","22/01/2024 13:56:42",,
"C:\Users\abc_0\Documents\Temp\Data\N44E008.hgt.aux.xml","N44E008.hgt.aux.xml",".xml","478","file","2","23/01/2024 12:04:59","23/01/2024 12:04:59",,
"C:\Users\abc_0\Documents\Temp\Data\N44E009.hgt","N44E009.hgt",".hgt","25934402","file","2","22/01/2024 13:56:44","22/01/2024 13:56:44",,
"C:\Users\abc_0\Documents\Temp\Data\N44E009.hgt.aux.xml","N44E009.hgt.aux.xml",".xml","478","file","2","23/01/2024 12:04:59","23/01/2024 12:04:59",,
"C:\Users\abc_0\Documents\Temp\Data\N44E010.hgt","N44E010.hgt",".hgt","25934402","file","2","22/01/2024 13:56:45","22/01/2024 13:56:45",,
"C:\Users\abc_0\Documents\Temp\Data\N44E010.hgt.aux.xml","N44E010.hgt.aux.xml",".xml","477","file","2","23/01/2024 12:04:59","23/01/2024 12:04:59",,
"C:\Users\abc_0\Documents\Temp\Data\N44E011.hgt","N44E011.hgt",".hgt","25934402","file","2","22/01/2024 13:56:46","22/01/2024 13:56:46",,
"C:\Users\abc_0\Documents\Temp\Data\N44E011.hgt.aux.xml","N44E011.hgt.aux.xml",".xml","479","file","2","23/01/2024 12:04:59","23/01/2024 12:04:59",,
"C:\Users\abc_0\Documents\Temp\Data\N44E012.hgt","N44E012.hgt",".hgt","25934402","file","2","22/01/2024 13:56:43","22/01/2024 13:56:43",,
"C:\Users\abc_0\Documents\Temp\Data\N44E012.hgt.aux.xml","N44E012.hgt.aux.xml",".xml","478","file","2","23/01/2024 12:04:59","23/01/2024 12:04:59",,
"C:\Users\abc_0\Documents\Temp\Data\N44E013.hgt","N44E013.hgt",".hgt","25934402","file","2","22/01/2024 13:56:44","22/01/2024 13:56:44",,
"C:\Users\abc_0\Documents\Temp\Data\N44E013.hgt.aux.xml","N44E013.hgt.aux.xml",".xml","477","file","2","23/01/2024 12:04:59","23/01/2024 12:04:59",,
"C:\Users\abc_0\Documents\Temp\Data\N44E014.hgt","N44E014.hgt",".hgt","25934402","file","2","22/01/2024 13:56:48","22/01/2024 13:56:48",,
"C:\Users\abc_0\Documents\Temp\Data\N44E014.hgt.aux.xml","N44E014.hgt.aux.xml",".xml","478","file","2","23/01/2024 12:04:59","23/01/2024 12:04:59",,
"C:\Users\abc_0\Documents\Temp\Data\N44E015.hgt","N44E015.hgt",".hgt","25934402","file","2","22/01/2024 13:56:50","22/01/2024 13:56:51",,
"C:\Users\abc_0\Documents\Temp\Data\N44E015.hgt.aux.xml","N44E015.hgt.aux.xml",".xml","478","file","2","23/01/2024 12:04:59","23/01/2024 12:04:59",,
"C:\Users\abc_0\Documents\Temp\Data\N44W001.hgt","N44W001.hgt",".hgt","25934402","file","2","22/01/2024 13:56:35","22/01/2024 13:56:36",,
"C:\Users\abc_0\Documents\Temp\Data\N44W001.hgt.aux.xml","N44W001.hgt.aux.xml",".xml","478","file","2","23/01/2024 12:04:59","23/01/2024 12:04:59",,
"C:\Users\abc_0\Documents\Temp\Data\N44W002.hgt","N44W002.hgt",".hgt","25934402","file","2","22/01/2024 13:56:34","22/01/2024 13:56:34",,
"C:\Users\abc_0\Documents\Temp\Data\N44W002.hgt.aux.xml","N44W002.hgt.aux.xml",".xml","477","file","2","23/01/2024 12:04:59","23/01/2024 12:04:59",,
"C:\Users\abc_0\Documents\Temp\Data\N45E000.hgt","N45E000.hgt",".hgt","25934402","file","2","22/01/2024 13:56:51","22/01/2024 13:56:51",,
"C:\Users\abc_0\Documents\Temp\Data\N45E000.hgt.aux.xml","N45E000.hgt.aux.xml",".xml","477","file","2","23/01/2024 12:04:59","23/01/2024 12:04:59",,
"C:\Users\abc_0\Documents\Temp\Data\N45E001.hgt","N45E001.hgt",".hgt","25934402","file","2","22/01/2024 13:56:52","22/01/2024 13:56:53",,
"C:\Users\abc_0\Documents\Temp\Data\N45E001.hgt.aux.xml","N45E001.hgt.aux.xml",".xml","477","file","2","23/01/2024 12:04:59","23/01/2024 12:04:59",,
"C:\Users\abc_0\Documents\Temp\Data\N45E002.hgt","N45E002.hgt",".hgt","25934402","file","2","22/01/2024 13:56:55","22/01/2024 13:56:56",,
"C:\Users\abc_0\Documents\Temp\Data\N45E002.hgt.aux.xml","N45E002.hgt.aux.xml",".xml","479","file","2","23/01/2024 12:04:59","23/01/2024 12:04:59",,
"C:\Users\abc_0\Documents\Temp\Data\N45E003.hgt","N45E003.hgt",".hgt","25934402","file","2","22/01/2024 13:56:59","22/01/2024 13:56:59",,
"C:\Users\abc_0\Documents\Temp\Data\N45E003.hgt.aux.xml","N45E003.hgt.aux.xml",".xml","479","file","2","23/01/2024 12:04:59","23/01/2024 12:04:59",,
"C:\Users\abc_0\Documents\Temp\Data\N45E004.hgt","N45E004.hgt",".hgt","25934402","file","2","22/01/2024 13:56:56","22/01/2024 13:56:57",,
"C:\Users\abc_0\Documents\Temp\Data\N45E004.hgt.aux.xml","N45E004.hgt.aux.xml",".xml","479","file","2","23/01/2024 12:04:59","23/01/2024 12:04:59",,
"C:\Users\abc_0\Documents\Temp\Data\N45E005.hgt","N45E005.hgt",".hgt","25934402","file","2","22/01/2024 13:57:01","22/01/2024 13:57:02",,
"C:\Users\abc_0\Documents\Temp\Data\N45E005.hgt.aux.xml","N45E005.hgt.aux.xml",".xml","479","file","2","23/01/2024 12:04:59","23/01/2024 12:04:59",,
"C:\Users\abc_0\Documents\Temp\Data\N45E006.hgt","N45E006.hgt",".hgt","25934402","file","2","22/01/2024 13:56:57","22/01/2024 13:56:57",,
"C:\Users\abc_0\Documents\Temp\Data\N45E006.hgt.aux.xml","N45E006.hgt.aux.xml",".xml","479","file","2","23/01/2024 12:04:59","23/01/2024 12:04:59",,
"C:\Users\abc_0\Documents\Temp\Data\N45E007.hgt","N45E007.hgt",".hgt","25934402","file","2","22/01/2024 13:56:58","22/01/2024 13:56:58",,
"C:\Users\abc_0\Documents\Temp\Data\N45E007.hgt.aux.xml","N45E007.hgt.aux.xml",".xml","479","file","2","23/01/2024 12:04:59","23/01/2024 12:04:59",,
"C:\Users\abc_0\Documents\Temp\Data\N45E008.hgt","N45E008.hgt",".hgt","25934402","file","2","22/01/2024 13:57:03","22/01/2024 13:57:04",,
"C:\Users\abc_0\Documents\Temp\Data\N45E008.hgt.aux.xml","N45E008.hgt.aux.xml",".xml","478","file","2","23/01/2024 12:04:59","23/01/2024 12:04:59",,
"C:\Users\abc_0\Documents\Temp\Data\N45E009.hgt","N45E009.hgt",".hgt","25934402","file","2","22/01/2024 13:57:02","22/01/2024 13:57:02",,
"C:\Users\abc_0\Documents\Temp\Data\N45E009.hgt.aux.xml","N45E009.hgt.aux.xml",".xml","477","file","2","23/01/2024 12:04:59","23/01/2024 12:04:59",,
"C:\Users\abc_0\Documents\Temp\Data\N45E010.hgt","N45E010.hgt",".hgt","25934402","file","2","22/01/2024 13:57:05","22/01/2024 13:57:06",,
"C:\Users\abc_0\Documents\Temp\Data\N45E010.hgt.aux.xml","N45E010.hgt.aux.xml",".xml","477","file","2","23/01/2024 12:04:59","23/01/2024 12:04:59",,
"C:\Users\abc_0\Documents\Temp\Data\N45E011.hgt","N45E011.hgt",".hgt","25934402","file","2","22/01/2024 13:57:05","22/01/2024 13:57:05",,
"C:\Users\abc_0\Documents\Temp\Data\N45E011.hgt.aux.xml","N45E011.hgt.aux.xml",".xml","475","file","2","23/01/2024 12:04:59","23/01/2024 12:04:59",,
"C:\Users\abc_0\Documents\Temp\Data\N45E012.hgt","N45E012.hgt",".hgt","25934402","file","2","22/01/2024 13:57:03","22/01/2024 13:57:03",,
"C:\Users\abc_0\Documents\Temp\Data\N45E012.hgt.aux.xml","N45E012.hgt.aux.xml",".xml","479","file","2","23/01/2024 12:04:59","23/01/2024 12:04:59",,
"C:\Users\abc_0\Documents\Temp\Data\N45E013.hgt","N45E013.hgt",".hgt","25934402","file","2","22/01/2024 13:57:08","22/01/2024 13:57:08",,
